Date,High,Low,Open,Close,Volume,Adj Close
1994-03-28,15.75,15.125,15.5,15.5,17700.0,15.5
1994-03-29,15.875,15.125,15.125,15.125,13100.0,15.125
1994-03-30,15.625,14.75,15.375,15.375,11900.0,15.375
1994-03-31,15.75,14.875,15.5,15.5,25400.0,15.5
1994-04-04,15.625,15.0,15.375,15.375,14600.0,15.375
1994-04-05,15.625,15.25,15.625,15.625,11500.0,15.625
1994-04-06,15.75,15.5,15.625,15.625,21800.0,15.625
1994-04-07,15.625,15.25,15.25,15.25,8500.0,15.25
1994-04-08,15.5,14.875,15.375,15.375,21500.0,15.375
1994-04-11,15.375,15.125,15.125,15.125,13800.0,15.125
1994-04-12,15.5,15.125,15.375,15.375,14700.0,15.375
1994-04-13,15.5,15.125,15.25,15.25,9100.0,15.25
1994-04-14,15.375,15.0,15.25,15.25,11400.0,15.25
1994-04-15,15.625,15.25,15.5,15.5,9500.0,15.5
1994-04-18,15.625,15.125,15.5,15.5,14000.0,15.5
1994-04-19,15.625,15.0,15.25,15.25,20300.0,15.25
1994-04-20,15.125,14.75,15.125,15.125,7500.0,15.125
1994-04-21,15.625,15.0,15.25,15.25,21900.0,15.25
1994-04-22,15.5,15.0,15.5,15.5,7000.0,15.5
1994-04-25,15.375,15.125,15.25,15.25,7700.0,15.25
1994-04-26,15.625,15.25,15.5,15.5,12600.0,15.5
1994-04-28,15.75,15.125,15.625,15.625,28800.0,15.625
1994-04-29,15.75,15.5,15.5,15.5,44600.0,15.5
1994-05-02,15.75,15.375,15.75,15.75,39400.0,15.75
1994-05-03,15.75,15.125,15.625,15.625,25100.0,15.625
1994-05-04,15.75,15.5,15.625,15.625,32600.0,15.625
1994-05-05,15.75,15.5,15.625,15.625,15100.0,15.625
1994-05-06,15.875,15.25,15.875,15.875,61900.0,15.875
1994-05-09,16.375,15.75,15.75,15.75,43100.0,15.75
1994-05-10,16.0,15.75,15.875,15.875,17600.0,15.875
1994-05-11,16.0,15.375,15.5,15.5,8000.0,15.5
1994-05-12,15.75,15.375,15.375,15.375,5200.0,15.375
1994-05-13,15.75,15.125,15.5,15.5,8400.0,15.5
1994-05-16,15.875,15.5,15.75,15.75,14300.0,15.75
1994-05-17,16.125,15.75,16.0,16.0,36100.0,16.0
1994-05-18,16.375,16.0,16.375,16.375,11700.0,16.375
1994-05-19,16.625,16.4375,16.5,16.5,14800.0,16.5
1994-05-20,16.5,16.125,16.125,16.125,18800.0,16.125
1994-05-23,16.875,15.75,16.75,16.75,140000.0,16.75
1994-05-24,17.25,16.75,17.25,17.25,23600.0,17.25
1994-05-25,17.5,17.0,17.5,17.5,29700.0,17.5
1994-05-26,17.625,17.125,17.125,17.125,85700.0,17.125
1994-05-27,17.625,17.25,17.625,17.625,11900.0,17.625
1994-05-31,17.625,16.5,16.5,16.5,83900.0,16.5
1994-06-01,16.625,16.125,16.5,16.5,46400.0,16.5
1994-06-02,16.5,16.25,16.25,16.25,6100.0,16.25
1994-06-03,16.25,16.0,16.0,16.0,9000.0,16.0
1994-06-06,16.375,16.0,16.375,16.375,31200.0,16.375
1994-06-07,16.625,16.125,16.625,16.625,34000.0,16.625
1994-06-08,16.875,16.375,16.5,16.5,6600.0,16.5
1994-06-09,16.625,16.0,16.125,16.125,19300.0,16.125
1994-06-10,16.5,16.125,16.25,16.25,15100.0,16.25
1994-06-13,16.625,16.0,16.625,16.625,13200.0,16.625
1994-06-14,17.0,16.5,17.0,17.0,38000.0,17.0
1994-06-15,17.25,16.75,16.875,16.875,25100.0,16.875
1994-06-16,17.25,16.625,17.0,17.0,66700.0,17.0
1994-06-17,17.25,16.625,16.625,16.625,11200.0,16.625
1994-06-20,17.0,16.5,16.75,16.75,8900.0,16.75
1994-06-21,16.625,16.5,16.5,16.5,7200.0,16.5
1994-06-22,16.75,16.5,16.5,16.5,9600.0,16.5
1994-06-23,16.875,16.5,16.625,16.625,8000.0,16.625
1994-06-24,16.625,16.25,16.375,16.375,5000.0,16.375
1994-06-27,16.875,16.0,16.75,16.75,13000.0,16.75
1994-06-28,17.0,16.375,16.375,16.375,8900.0,16.375
1994-06-29,16.25,16.0,16.0,16.0,34200.0,16.0
1994-06-30,16.25,16.0,16.0,16.0,16000.0,16.0
1994-07-01,16.375,16.0,16.375,16.375,10000.0,16.375
1994-07-05,16.375,16.125,16.25,16.25,3900.0,16.25
1994-07-06,16.5,16.125,16.25,16.25,5900.0,16.25
1994-07-07,16.5,16.25,16.25,16.25,2300.0,16.25
1994-07-08,16.5,16.0,16.5,16.5,12400.0,16.5
1994-07-11,16.25,16.0,16.25,16.25,20300.0,16.25
1994-07-12,16.375,15.875,16.375,16.375,15100.0,16.375
1994-07-13,16.375,16.0,16.25,16.25,9400.0,16.25
1994-07-14,16.5,16.25,16.5,16.5,68300.0,16.5
1994-07-15,16.25,16.0,16.0,16.0,10000.0,16.0
1994-07-18,16.0,15.875,15.875,15.875,4900.0,15.875
1994-07-19,16.375,15.625,16.125,16.125,12500.0,16.125
1994-07-20,16.5,15.875,16.5,16.5,12100.0,16.5
1994-07-21,16.75,16.375,16.375,16.375,31100.0,16.375
1994-07-22,16.125,15.5,15.5,15.5,17600.0,15.5
1994-07-25,16.125,15.5,16.125,16.125,17100.0,16.125
1994-07-26,16.25,15.875,16.125,16.125,6600.0,16.125
1994-07-27,16.0,15.625,16.0,16.0,8400.0,16.0
1994-07-28,15.875,15.5,15.625,15.625,11900.0,15.625
1994-07-29,15.875,15.5,15.875,15.875,31900.0,15.875
1994-08-01,16.125,15.875,16.125,16.125,13800.0,16.125
1994-08-02,16.5,16.0,16.125,16.125,16900.0,16.125
1994-08-03,16.25,15.875,16.25,16.25,7200.0,16.25
1994-08-04,16.25,15.75,15.75,15.75,6300.0,15.75
1994-08-05,15.875,15.5,15.875,15.875,9800.0,15.875
1994-08-08,16.375,15.75,16.375,16.375,18900.0,16.375
1994-08-09,16.25,16.125,16.25,16.25,8100.0,16.25
1994-08-10,16.25,16.0,16.0,16.0,38700.0,16.0
1994-08-11,16.25,16.0,16.25,16.25,10300.0,16.25
1994-08-12,16.375,16.125,16.375,16.375,5300.0,16.375
1994-08-15,16.375,16.25,16.375,16.375,14800.0,16.375
1994-08-16,16.25,15.75,16.125,16.125,10000.0,16.125
1994-08-17,16.25,15.875,15.875,15.875,7300.0,15.875
1994-08-18,16.25,15.75,15.75,15.75,18800.0,15.75
1994-08-19,15.875,15.5,15.625,15.625,26900.0,15.625
1994-08-22,16.0,15.625,16.0,16.0,9700.0,16.0
1994-08-23,16.25,15.75,16.25,16.25,84500.0,16.25
1994-08-24,16.75,16.375,16.5,16.5,67600.0,16.5
1994-08-25,16.75,16.125,16.25,16.25,16100.0,16.25
1994-08-26,16.75,16.375,16.625,16.625,18100.0,16.625
1994-08-29,16.875,16.625,16.625,16.625,11300.0,16.625
1994-08-30,16.625,16.25,16.5,16.5,31100.0,16.5
1994-08-31,16.5,16.125,16.375,16.375,7500.0,16.375
1994-09-01,16.375,16.0,16.25,16.25,7100.0,16.25
1994-09-02,16.5,16.0,16.125,16.125,5000.0,16.125
